,PERSON,NORP,ORG,GPE,LABEL
0,False,False,False,False,DATE
1,False,False,False,False,PERSON
2,False,False,False,False,
3,False,False,False,False,"PERSON,PERSON"
4,False,False,False,False,"NORP,PERSON"
5,False,False,False,False,"ORG,PERSON"
6,False,False,False,False,"ORG,GPE"
7,False,False,False,False,"DATE,PERSON"
8,False,False,False,False,
9,False,False,False,False,"ORG,ORG,PERSON,ORG"
10,False,False,False,False,
11,False,False,False,False,DATE
12,False,False,False,False,GPE
13,False,False,False,False,"NORP,PERSON,ORG,ORG,ORG"
14,False,False,False,False,"ORG,PERSON"
15,False,False,False,False,GPE
16,False,False,False,False,GPE
17,False,False,False,False,"PERSON,WORK_OF_ART"
18,False,False,False,False,"DATE,ORG,PERSON,ORG"
19,False,False,False,False,DATE
20,False,False,False,False,
21,False,False,False,False,"ORG,NORP,PERSON,ORG"
22,False,False,False,False,
23,False,False,False,False,ORG
24,False,False,False,False,"DATE,ORG"
25,False,False,False,False,
26,False,False,False,False,
27,False,False,False,False,DATE
28,False,False,False,False,"DATE,PERSON"
29,False,False,False,False,GPE
30,False,False,False,False,"NORP,ORG,ORG,ORG,GPE"
31,False,False,False,False,
32,False,False,False,False,GPE
33,False,False,False,False,
34,False,False,False,False,"GPE,NORP,NORP"
35,False,False,False,False,"CARDINAL,GPE"
36,False,False,False,False,
37,False,False,False,False,DATE
38,False,False,False,False,"PERSON,DATE,PERSON"
39,False,False,False,False,GPE
40,False,False,False,False,PERSON
41,False,False,False,False,"GPE,GPE,GPE,GPE,GPE"
42,False,False,False,False,"PERSON,PERSON"
43,False,False,False,False,NORP
44,False,False,False,False,"ORG,DATE,DATE"
45,False,False,False,False,
46,False,False,False,False,PERSON
47,False,False,False,False,"PERSON,PERSON"
48,False,False,False,False,GPE
49,False,False,False,False,ORG
50,False,False,False,False,CARDINAL
51,False,False,False,False,
52,False,False,False,False,"PERSON,PRODUCT"
53,False,False,False,False,DATE
54,False,False,False,False,PERSON
55,False,False,False,False,
56,False,False,False,False,DATE
57,False,False,False,False,"DATE,EVENT"
58,False,False,False,False,
59,False,False,False,False,
60,False,False,False,False,DATE
61,False,False,False,False,GPE
62,False,False,False,False,GPE
63,False,False,False,False,
64,False,False,False,False,NORP
65,False,False,False,False,
66,False,False,False,False,"DATE,DATE,NORP,ORDINAL,PERSON"
67,False,False,False,False,"DATE,DATE,PERSON,ORDINAL,LOC,NORP,DATE"
68,False,False,False,False,"DATE,ORG"
69,False,False,False,False,GPE
70,False,False,False,False,"NORP,PERSON,ORG,ORG,ORG"
71,False,False,False,False,
72,False,False,False,False,"DATE,PERSON"
73,False,False,False,False,"GPE,ORG,ORG,PERSON"
74,False,False,False,False,"NORP,FAC,DATE"
75,False,False,False,False,
76,False,False,False,False,ORG
77,False,False,False,False,PERSON
78,False,False,False,False,ORG
79,False,False,False,False,PERSON
80,False,False,False,False,ORG
81,False,False,False,False,"ORG,WORK_OF_ART"
