Tone,Date,Newspaper
0.030357143,"September 9, 2019",CD
0.016129032,"September 9, 2017",CD
0.015948963,"September 9, 2017",CD
-0.006550218,"September 9, 2017",CD
0.057632399,"September 9, 2015",CD
0.012912482,"September 9, 2014",CD
0.024793388,"September 9, 2014",CD
0.035887488,"September 8, 2018",CD
0.014851485,"September 8, 2017",CD
0.020588235,"September 8, 2017",CD
0.050516648,"September 8, 2016",CD
0.016616314,"September 8, 2014",CD
0.00500417,"September 8, 2014",CD
0.033939394,"September 8, 2014",CD
0.033939394,"September 8, 2014",CD
0.068910256,"September 8, 2014",CD
0.068910256,"September 8, 2014",CD
0.060281313,"September 8, 2014",CD
0.013157895,"September 8, 2014",CD
0.013157895,"September 8, 2014",CD
0.043628014,"September 8, 2014",CD
0.043628014,"September 8, 2014",CD
-0.006880734,"September 7, 2017",CD
0.05399061,"September 7, 2016",CD
0.015625,"September 7, 2016",CD
0.01540832,"September 7, 2016",CD
-0.027261462,"September 7, 2015",CD
0.00500417,"September 7, 2014",CD
0.032911392,"September 7, 2014",CD
0.069256757,"September 7, 2014",CD
0.060281313,"September 7, 2014",CD
0.047685835,"September 7, 2014",CD
0.034700315,"September 7, 2014",CD
0.011396011,"September 7, 2014",CD
0.042424242,"September 7, 2014",CD
-0.023450586,"September 6, 2019",CD
-0.008210181,"September 6, 2019",CD
-0.025641026,"September 6, 2019",CD
0.03030303,"September 6, 2019",CD
0.028350515,"September 6, 2019",CD
-0.002252252,"September 6, 2019",CD
0.002570694,"September 6, 2018",CD
0.046116505,"September 6, 2018",CD
0.006342495,"September 6, 2018",CD
0.046958378,"September 6, 2016",CD
0.050343249,"September 6, 2016",CD
0.047685835,"September 6, 2014",CD
-0.004329004,"September 5, 2019",CD
-0.019189765,"September 5, 2019",CD
0.012216405,"September 5, 2017",CD
0.043478261,"September 5, 2014",CD
0.06088683,"September 5, 2014",CD
0.02417962,"September 5, 2014",CD
0.062305296,"September 4, 2019",CD
-0.029748284,"September 4, 2019",CD
0,"September 4, 2018",CD
0.08477842,"September 4, 2016",CD
0.002620087,"September 4, 2014",CD
0.00500417,"September 4, 2014",CD
0.060281313,"September 4, 2014",CD
0.059405941,"September 30, 2017",CD
-0.015360983,"September 30, 2017",CD
0.005813953,"September 30, 2016",CD
0.044077135,"September 30, 2015",CD
0.008879023,"September 30, 2014",CD
0.044891641,"September 30, 2014",CD
0.010575793,"September 3, 2019",CD
0,"September 3, 2019",CD
0.027552674,"September 3, 2019",CD
0.046116505,"September 3, 2018",CD
0.006329114,"September 3, 2018",CD
0.02179899,"September 3, 2016",CD
0.047685835,"September 3, 2014",CD
0.045393858,"September 3, 2014",CD
0.019099591,"September 29, 2016",CD
0.012987013,"September 29, 2015",CD
0.017571885,"September 29, 2015",CD
0.03539823,"September 29, 2015",CD
0.035476718,"September 29, 2015",CD
0.008879023,"September 29, 2014",CD
-0.00192123,"September 28, 2018",CD
0.024193548,"September 28, 2018",CD
